station_id,weather_date,sunny_rate,cloudy_rate,rainny_rate
5,1111-01-01,79.3,10.3,3.4
5,1111-01-02,82.8,6.9,3.4
5,1111-01-03,86.2,6.9,0
5,1111-01-04,86.2,0,6.9
5,1111-01-05,89.7,3.4,3.4
5,1111-01-06,72.4,6.9,17.2
5,1111-01-07,89.7,0,6.9
5,1111-01-08,75.9,0,13.8
5,1111-01-09,65.5,0,24.1
5,1111-01-10,86.2,3.4,6.9
5,1111-01-11,82.8,10.3,3.4
5,1111-01-12,75.9,0,3.4
5,1111-01-13,75.9,6.9,10.3
5,1111-01-14,79.3,0,10.3
5,1111-01-15,72.4,10.3,10.3
5,1111-01-16,62.1,6.9,20.7
5,1111-01-17,72.4,6.9,10.3
5,1111-01-18,75.9,6.9,6.9
5,1111-01-19,72.4,0,13.8
5,1111-01-20,82.8,3.4,3.4
5,1111-01-21,55.2,3.4,17.2
5,1111-01-22,62.1,3.4,20.7
5,1111-01-23,55.2,6.9,13.8
5,1111-01-24,72.4,3.4,3.4
5,1111-01-25,79.3,3.4,13.8
5,1111-01-26,79.3,3.4,10.3
5,1111-01-27,69,10.3,13.8
5,1111-01-28,72.4,3.4,3.4
5,1111-01-29,65.5,6.9,13.8
5,1111-01-30,82.8,3.4,6.9
5,1111-01-31,89.7,0,3.4
5,1111-02-01,64.3,3.6,10.7
5,1111-02-02,85.7,0,3.6
5,1111-02-03,67.9,7.1,7.1
5,1111-02-04,75,7.1,7.1
5,1111-02-05,78.6,7.1,3.6
5,1111-02-06,64.3,7.1,10.7
5,1111-02-07,71.4,3.6,10.7
5,1111-02-08,53.6,14.3,14.3
5,1111-02-09,60.7,3.6,14.3
5,1111-02-10,64.3,10.7,10.7
5,1111-02-11,75,0,7.1
5,1111-02-12,75,3.6,7.1
5,1111-02-13,71.4,14.3,7.1
5,1111-02-14,64.3,3.6,17.9
5,1111-02-15,57.1,10.7,7.1
5,1111-02-16,60.7,3.6,17.9
5,1111-02-17,64.3,17.9,3.6
5,1111-02-18,67.9,3.6,10.7
5,1111-02-19,78.6,7.1,3.6
5,1111-02-20,60.7,7.1,21.4
5,1111-02-21,71.4,7.1,10.7
5,1111-02-22,71.4,14.3,7.1
5,1111-02-23,64.3,7.1,21.4
5,1111-02-24,60.7,17.9,7.1
5,1111-02-25,64.3,10.7,14.3
5,1111-02-26,60.7,17.9,17.9
5,1111-02-27,57.1,10.7,21.4
5,1111-02-28,60.7,21.4,10.7
